program,acad_course_macro_garima_score,acad_course_acc_nimisha_score,acad_course_corpstrategy_vipin_score,acad_course_stratlead_manu_score,acad_course_stratlead_vipin_score,acad_course_prod_ashank_score,acad_course_finmodel_pranav_score,acad_course_mktres_bhupesh_score,acad_course_b2b_rajan_score,acad_course_category_sahil_score,acad_course_prodanalytics_shravan_score,acad_course_productlab_fenil_score,acad_course_python_tushar_score,acad_course_design_nikunj_score,acad_course_leadership_rajat_score,acad_most_impact_comment,acad_relevance_score,acad_overall_nps,acad_feedback_comment,outclass_preseed_confidence_score,outclass_content_clarity_comment,outclass_overall_nps,outclass_feedback_comment,careerprep_guidance_score,careerprep_confidence_comment,careerprep_overall_nps,careerprep_feedback_comment,careerservices_overall_nps,careerservices_feedback_comment,masterrelations_guestfavorite_comment,masterrelations_feedback_comment,studentaffairs_engagement_score,studentaffairs_grievance_score,studentaffairs_value_comment,studentaffairs_overall_nps,studentaffairs_feedback_comment,tech_careercoach_score,tech_careercoach_comment,tech_mentorunion_score,tech_mentorunion_usefulness_score,tech_mentorunion_comment,tech_lms_score,tech_lms_comment,program_overall_nps,program_nps_reason_comment,program_positive_comment,program_fix_comment
TBM,10,,10,,,10,,10,9,,10,10,,,9,Mr. Ashank and Shravan were one of the best professors this term.,10,10,Not answered,9,I did not opt for the content creation challenge!,9,Outclass Team is pretty helpful!,10,Yes! The initial domain mocks and alumni guided interview prep along with Gopika Ma'am Behavioral sessions made me confident to get a role this term.,10,Not answered,9,Not answered,I was not able to attend many sessions this term.,Not answered,10,10,The sessions were great! I also got time in this term as well to work on my VIP.,9,Not answered,6,Many more updates are needed. I can see these changes being implemented slowly!,8,10,"No issues as such, the website can be improved a bit! Sometimes it's difficult to find the mentors based on keywords since the profiles are not fully updated. For Eg. If ABC changes the position then that is not updated in the Mentor Union Profile. This often leads to some missed profiles which might be relevant to me!",8,Coach can be improved further in terms of the filters and information reflected for each job on the platform!,10,I got placed! I am working on my VIP! I am learning from the classes! It's going good overall!,Academic Professor quality was great!,Nothing as such for now!
TBM,6,,9,5,8,,,10,,,10,,7,,10,shravan tickoo was really good and even if i did not get the Product 102 i had the opportunity to sit in some of the classes and the faculty was too good Rajat mathur was phenomenal,9,8,"Yes, most classes in term 3 was good each person has their own teaching style but one person class has half the class studying and half of the class on wasteful discussion",8,i was not a part of this one,5,"During the very first VC pitch, the quality of the VC was totally absurd, we had a 22 year old who could not understand anything",5,No its the self prep that is going the mile,5,There are some mails which are wrongly sent accusing of some non adherence and i have to take screenshot to prove that its not the case this has happened twice and its quite irritating,3,"1) I dont know if some of the job posting are actually posted after talking to the hiring manager 2) The townhall had a lot of false claims and the person talking during the first session was extremly rude, that not the way to go about things 3) Some people are being favoured even if they are placed they are allowed to sit in more interviews by some POC which not policy adherence and totally not acceptable",There was one no code low code which was good,no,6,6,Academics was definitely the greater part,9,Thank you for the timely help which you had provided when needed,3,There are quite a lot of bugs starting with file upload to submission,8,8,No,3,Please improve the bugs in the mobile version,7,I had good learning in terms of academics and got to explore my startup idea,The academic part please get great faculty like this,The classrooms in CDS is not accommodative if all the students are present i was literally hanging and writing my exam i did not like that experience because on one side i was about to fall and the other side there was someone else hand hitting me
TBM,8,,10,7,10,10,8,7,,,10,,,,10,"Loved the product courses by Ashank and Shravan. Also, found a lot of value in Vipin's courses. Rajat's course in leadership has to be the best on offer. Market research could improve.",10,9,Sir I wish Term 2 was like this well. Term 3 actually made MU worth it.,9,"Yes, to an extent. I missed a few sessions because of interviews so can't give a qualified opinion.",9,Push us more to build and deliver tangible outcomes.,9,I cracked a role so I can't be more thankful. They were very supportive.,10,You guys are doing a great job- thank you for your contribution.,9,Thank you for helping me crack a founders office role with upGrad,Simran and Zubair were extremely supportive.,None really.,8,9,"The academics, placement process and sports events.",9,None really.,9,Not really.,9,9,Not really.,10,No,8,Great overall. Scope for improvement is scheduling. Some parts of the term are too free while other periods are really hectic affecting well being.,"Academics and placement support. Also, good to see more stringent invigilation.",My pain point is that I'll be missing classes once I'm starting my role in mid Feb. I love the quality of content and the professors esp since Term 3. If the placement process could begin after course completion- it would be better.
TBM,9,7,8,7,7,9,8,10,,,,,9,,10,Rajat Mathur for leadership Lab,8,7,"more experiential learning like Macro Economics, Leadership Lab and Python can be promoted intsead of too verbose corp strategy and strat leadership where there culd be alot of improvements, courses should be spaced evenly and not very big gap between classes, makes lose context and touch",6,"started out of nowhee, was really keen on opting in but wasn't able to due to no clarity, found the overall execution for this very haywired and dissapointing and unstructured",7,"Conten creation the overall thing has to improve a lottt, no structure no understanding of metrics to the team itself, running in ubiquitous directions makes no sense",8,O2O for CV Building and Vid Resume and Portfolio instead of Homework tasks,7,NA,8,NA,"Anupam Mittal, chandan Mendiratta",Not answered,8,6,CEP + MR + leadership lab,7,Not answered,3,"no progress update of applications data neither uploaded nor maintained, CTC in the sections show 0 or undefined but then are mentioned in the description, MU directly is rejected for a lot of jobs as a college altogether and idk why then such openings are even posted without taking a intent from hiring company prior. seems just copied from public portas like naukri and linkedin",8,7,Not answered,9,Not answered,8,inclass some courses just held all the weight for all the other things falling apart,"CXOs, Inclass lecture's with senior professionals","Campus, grading and correction system, anyone gets anything in marks and it fluctuates upon challenging rapidly, grading is taken as a joke from the PA attitude, we sit in term 4 and still term 2 grades isn't aligned"
TBM,9,,10,10,10,,10,10,,8,,,,,10,Bhupesh sir- Market research,7,8,Not answered,9,"yes, it did give me the clarity as the sessions are really good",7,I feel we can have more collaboration than sessions,8,"yes, it has helped me",9,Not answered,7,Not answered,Finance CEP was good,Not answered,9,9,clubs and fests were fun.,9,Not answered,9,Not answered,9,9,Not answered,9,Not answered,8,academics and mentorUnion,"clubs and fest, more practical learning anf business application of concepts",Campus placements instead of Lateral opportunities- It doesnt make sense to have these as we are doing an mba on campus and deserve opportunities accordingly
TBM,10,8,8,8,8,10,,8,,8,8,,,,9,"Professor Ashank Bhandari - Product Management 102. Really appreciated the recap before every class. And the way he has curated the course is amazing. Every class has something new. And he goes on to the depths of everything, which is amazing for someone from a non-tech background. One feedback, though - the first assignment he gave was not at all related to the classes that he had. He made the assignment assuming that all of us in the class were aspiring product managers and knew how to make prototypes, when that was not even taught.",8,8,Please be more involved with the students to understand their pain points.,6,OPTED OUT. Not applicable,4,"The sessions being conducted as of now, apart from the pitches and the practices, none of the other sessions make sense. Students are there just for attendance; they sit and work on their own stuff. Maybe if we can have more hands-on sessions, it would be better. Or maybe no such common sessions, but each team has to check in with the outclass team 2-3 times in each term to showcase progress and get feedback.",10,My career prep experience has been great.,10,"not feedback, but maybe helpful information. Most of the batch is not taking the behavioural sessions seriously. If you see the handbooks too, they are mostly ChatGPT. These sessions are not really helping anyone.",9,My experience with them was great during Network 18 placements.,Dibyendu Ji has been a huge help during this time. He's always there whenever i have a doubt and always sorts things out for me.,"No issues. Small recommendation, Please roll out a form asking the students who they want on campus for a CXO session and have the team reach out.",7,9,better in-class courses. Good masters.,8,No issues/improvements,3,"Multiple Issues - Search Option doesn't work - No option to mark favourites - If we go to one job page, after going back, it takes us to the home page, not the previous page. -",6,9,"The interface could be better. - The home page should have mentors, not my records. That should be the profile section. - Also, I couldn't find anyone from the petcare industry on the platform. - Can we have a separate section for the previous batch mentors? Life for C6, C5 would be the mentors. And for c7, we would be the same.",6,"- The feedback comes in between at any time and then takes us back to the home page. Not the immediately previous page. - We cannot see the assignments for the previous term on the task list. - The default term gets changed on our LMS around 10-12 days before the term starts. This creates friction, at the end of the previous term, and usually that time is very crucial, considering end-of-term exams and presentations.",10,I got placed at Network 18.,Least amount of CXO's,"I will make VIP Optional for people who actually want to do it. Because others just do it for assignments. This frustrates the teams who are actually building, and also the outclass team. This makes the experience bad for all stakeholders. The People who are building get distracted by assignments. The outclass team tailors the course based on the whims and fancies of the cohort. Mostly, the people who are not even building seriously. The people who are here for placements get distracted by VIP assignments and sessions. For the past 5-6 sessions, I have personally noticed each one on their laptops during these sessions. No one is actually listening. This makes the experience of the mentor worse as well."
TBM,10,,10,9,10,10,,10,9,7,,,,8,10,Rajat Mathur. Loved his lessons!,9,9,Not answered,10,"I think so, me personally wanted to give it a try but it seems like it is not my cup of tea. However, sessions would have helped people who are serious doing that for sure",8,Not answered,10,"Yes, they have helped me gain confidence.",10,Not answered,9,Not answered,Rajat Mathur's class! It was amazingly practical.,Not answered,5,9,P2P learning was a good initiative,5,Student affairs did not seem to be much involved.,10,Not answered,10,8,Not answered,10,Not answered,9,MBA experience and engagement with faculty,Teachers/Masters were very helpful and their teaching style was also great,"I would work on student unity. I believe students are divided and the feeling of unitedness is missing in the cohort. Perhaps, the value addition from MU to every individual is different and hence the commonness isn't resonating. From the beginning of the cohort, there were some things that went slightly south. There needs to be some research done on this matter. Unity of the cohort will help MU's brand scale with just word of mouth."
TBM,10,,10,10,10,10,,10,7,9,,,,10,10,"Macroeconomics (Dr. Garima Chaklader), Product Management 102 (Ashank Bhandari), and Market Research (Dr. Bhupesh Manoharan) had the most impact on me this term. Macroeconomics strengthened my ability to think structurally about larger economic systems and policy linkages, helping me connect theory with real-world business implications. Product Management 102 was particularly transformative in shaping my problem-solving approach, it pushed me to think from first principles, focus on user-centricity, and validate ideas rigorously. Market Research stood out for its practical orientation, equipping me with frameworks and analytical tools that directly enhanced my ability to derive insights from data and make informed strategic decisions. Together, these courses significantly deepened both my analytical thinking and strategic perspective.",9,9,"This term, both the faculty and course structure felt significantly stronger compared to Term 2. The subjects were more cohesive, intellectually engaging, and better aligned with real-world application. The teaching quality, classroom discussions, and practical depth added meaningful value to the learning experience. Overall, this term felt more structured, impactful, and academically enriching. Hence, the Head of Academics did goo job.",8,I didn't opt for this,9,"the vip was overall good, but there were few sessions which I didn't find that relevant",10,"Yes, Career Prep has helped me feel more confident in preparing for placements. The team has been readily available for guidance and support, which makes the process less overwhelming. The ANMs, in particular, have been extremely helpful in providing clarity around preparation strategy, role alignment, and expectations. Their inputs have made the process more structured and focused. Overall, the accessibility and clarity provided by the team have positively contributed to my placement readiness.",10,It was good with intensive and right kind of help and support provided.,10,"The Career Services team has been very supportive throughout the placement process. I would especially like to acknowledge Yashi for her proactive guidance and responsiveness. She helped me connect with the right opportunities and supported me in securing an interview call with ELC, which I truly appreciate. The outreach efforts and individual attention from the team make a meaningful difference in navigating placements more confidently.","I particularly enjoyed the Career Prep ANM sessions and the one-to-one calls with the Career Services team. The ANM sessions stood out for the clarity and structure they brought to placement preparation, especially in helping refine positioning and interview strategy. The one-to-one calls were equally valuable as they provided personalized feedback and practical guidance tailored to individual goals. The combination of structured sessions and individualized attention made the experience impactful and confidence-building.",not actually,8,10,"The most valuable part of Term 3 was the increased academic rigor combined with practical application. The courses felt more structured and aligned with real-world problem solving, which made the learning more meaningful and engaging. Additionally, the support from Career Prep and one-to-one interactions with the Career Services team added significant value by bringing clarity and direction to placement preparation. The combination of strong academics and structured career guidance made this term particularly impactful for me.",9,N/A,9,exact status of companies and application should be added as feature,9,9,N/A,8,N/A,9,"The single biggest reason for my score is the noticeable improvement in academic quality and structure in Term 3. The courses felt more rigorous, industry aligned, and intellectually engaging, which made the overall learning experience far more meaningful. Overall, the direction is very strong, and with continued refinement, the experience can become even more exceptional.","The stronger academic rigor and industry relevance of the courses worked best for me this term. The structured approach to teaching, combined with practical application and real-world examples, made the learning far more engaging and impactful. Additionally, the accessibility of faculty and the proactive support from Career Prep and Career Services added significant value. The balance between academic depth and career readiness support is something that should definitely be continued.","If I were in Pratham’s position, the one thing I would prioritize immediately is strengthening and doubling down on the flagship PGP TBM program. As the core offering, it sets the brand perception and long-term credibility of the institution. I would ensure sharper focus, deeper investment, and continued refinement of the flagship experience before expanding aggressively into multiple new programs. While diversification is important, sustaining excellence in the primary program builds stronger outcomes, alumni advocacy, and institutional reputation. By concentrating resources, leadership bandwidth, and innovation efforts on making TBM undeniably best-in-class, the overall brand value of Masters’ Union would strengthen organically."
TBM,8,3,8,6,8,9,,9,,8,,,,,8,Macroeconomics gave me a very good understanding and interest towards the topic. Market Research gave me a good interest especially because of the quantitative aspect. Prof. Ashank Bhandari gave a very first principle thinking approach which was a different way of viewing concepts in a good way. Prof. Sahil Puri's simulations will have a lasting impact on me. Corporate Strategy as the previous courses of his gave different examples which builds muscle on the topics covered.,7,8,Nil,10,"I didn't opt for it because though I wanted to do content creation, the expectations kept and the unnecessary classes made me think I could do it without enrolling for the challenge.",5,"The second session for example was very hands on atleast for our section by Rlla Qureshi. Such sessions would make the sessions interesting rather than have it as sessions without building stuff. The pitches also I felt were more focusing on the whole problem rather than the MVP. So, I just felt it to be another round of the startup pitch than it actually focusing on the MVP. So, there was no feedback that we had received on the MVP that we had built or done.",0,"No, most of the things being taught for example in the behavioural sessions were just feeling like common sense and didn't add much value.",0,"I do understand that the sessions being done are for maximising the results for the larger crowd. But for people who are experienced in specific domains, these sessions would not be very useful. That aspect is not kept in mind when considering the attendance or career preparation. I would highly recommend on understanding the different domains that people want to get into or come from and accordingly have better sessions.",2,There was a form that we had to fill regarding the specific companies we would like to get into. But no response was communicated to us after the data was collected. I would highly recommend on sharing the actions taken after collecting data from us on such aspects.,Ashank Bhandari's sessions were challenging by questioning our thinking approach and hence loved it.,I think the industry readiness sessions was a good idea and it should have started in the 1st term itself rather than ranfom CXOs coming in,7,9,Academics was the main element that added value.,7,"I think since there is no activity I know of from student affairs, I cannot think of any issues/improvements",6,"The overall UI/UX of the product is not that great but is it functional, yes. I think there is a problem mainly with the loading time and many glitches. I am not exactly sure how it could be solved. But based on the principles we learned from product management, the app is something which is not built considering the users in mind, this is something I felt.",7,7,I have not used Mentor Union yet because I have not encountered something for which I am not taught in class or would need help on from the mentors in Mentor Union.,9,I think it works fine except in some situations the LMS is not able to handle the high load for example during submission deadlines or exams conducted using LMS links,9,Academics would be the core,The faculty quality and the industry readiness sessions,"I would look at how PGP TBM programme would provide differentiation in the industry considering that the UG programme also goes through a similar learning process. Considering that the PGP TBM programme is either a Cash cow or a star in the BCG matrix of Masters' Union, the decision on how differently the positioning of UG programme and PGP TBM programme needs to be thought of to avoid conflict between the two programmes."
TBM,10,7,10,,,10,,10,8,,,,,6,10,Rajat Mathur was an inspiring mentor - really enjoyed his story telling skills,10,10,Not answered,3,Did not opt for this course,3,Not answered,10,Great initiative - the mock interviews and handbook preparation,10,Not answered,6,Not answered,"Rajat Mathur's leadreship lab was super interesting, inspiring and helped us gain insights on leadership problems which we are bound to encounter",Not answered,8,8,The ODC challenges were helpful to build people skills,8,Not answered,5,Not answered,5,5,Not answered,7,Not answered,7,Things can be improved and be more structured,The quality of courses and masters,Scheduling structure
